consecutive,date,Area,Route,Marsh_River_Canal,UTM_Easting,UTM_Northing,Water Depth,SV length,Weight,Sex,lnWeight,lnSVL,SizeClass,month,Season,year,WY,stud_resid,Groups
18,10/4/1999,ENP,ENP-SS,Marsh,525529,2834003,57,83.5,15.5,Female,2.740840024,4.424846632,Subadult,10,Fall,1999,2000,1.919773109,South
19,10/4/1999,ENP,ENP-SS,Marsh,525619,2835610,71.5,87,15,Female,2.708050201,4.465908119,Subadult,10,Fall,1999,2000,0.674465214,South
20,10/4/1999,ENP,ENP-SS,Marsh,525645,2834262,64.5,82.5,12.5,Female,2.525728644,4.412798293,Subadult,10,Fall,1999,2000,0.540433954,South
21,10/4/1999,ENP,ENP-SS,Marsh,526189,2834357,76,73,8.75,Female,2.1690537,4.290459441,Subadult,10,Fall,1999,2000,0.722977718,South
22,10/4/1999,ENP,ENP-SS,Marsh,525529,2834003,57,81,12.5,Female,2.525728644,4.394449155,Subadult,10,Fall,1999,2000,0.982972364,South
23,10/4/1999,ENP,ENP-SS,Marsh,525529,2834003,57,88.5,15.5,Female,2.740840024,4.483002552,Subadult,10,Fall,1999,2000,0.516688951,South
24,10/4/1999,WCA2,WCA2A_Marsh,Marsh,560230,2905560,82.5,91.5,17,Female,2.833213344,4.516338972,Adult,10,Fall,1999,2000,0.429602598,Central
25,10/4/1999,WCA2,WCA2A_Marsh,Marsh,560732,2905580,76,73,7.5,Female,2.014903021,4.290459441,Subadult,10,Fall,1999,2000,-0.473329052,Central
26,10/4/1999,WCA2,WCA2A_Marsh,Marsh,561024,2904542,97,78.5,8.5,Female,2.140066163,4.363098625,Subadult,10,Fall,1999,2000,-1.253853814,Central
27,10/4/1999,WCA3AS,WCA3A-N41_Marsh,Marsh,525458,2851978,74,64,5.75,Male,1.749199855,4.158883083,Subadult,10,Fall,1999,2000,0.638064486,Central
28,10/4/1999,WCA3AS,WCA3A-N41_Marsh,Marsh,528419,2851380,102,76,10,Male,2.302585093,4.33073334,Subadult,10,Fall,1999,2000,0.787932443,Central
29,10/4/1999,WCA3AS,WCA3A-N41_Marsh,Marsh,523096,2852067,101,84.5,12.25,Male,2.505525937,4.436751534,Subadult,10,Fall,1999,2000,-0.193862554,Central
30,10/4/1999,WCA3AS,WCA3A-N41_Marsh,Marsh,518316,2849643,81,80.5,11.5,Male,2.442347035,4.388257184,Subadult,10,Fall,1999,2000,0.485220564,Central
32,10/4/1999,WCA3AN,WCA3A-TW_Marsh,Marsh,550174,2892550,112,70,6.25,Female,1.832581464,4.248495242,Subadult,10,Fall,1999,2000,-0.876342487,Central
33,10/5/1999,BICY,BICY_Marsh,Marsh,483232,2848117,50,85.5,11.75,Male,2.463853241,4.448516376,Subadult,10,Fall,1999,2000,-0.800887178,West
34,10/5/1999,ENP,ENP-SS,Marsh,526017,2834918,76,77,10.5,Female,2.351375257,4.343805422,Subadult,10,Fall,1999,2000,0.851305146,South
35,10/5/1999,ENP,ENP-SS,Marsh,525904,2835489,77,82.5,12,Female,2.48490665,4.412798293,Subadult,10,Fall,1999,2000,0.223690238,South
36,10/5/1999,LOX,Lox_Marsh,Marsh,572912,2933018,56,69.5,7.5,Male,2.014903021,4.241326753,Subadult,10,Fall,1999,2000,0.711677064,Northeast
37,10/5/1999,LOX,Lox_Marsh,Marsh,572670,2933562,57,79,10.5,Male,2.351375257,4.369447852,Subadult,10,Fall,1999,2000,0.232894462,Northeast
38,10/5/1999,LOX,Lox_Marsh,Marsh,571492,2933872,48.5,86.5,14,Female,2.63905733,4.460144414,Subadult,10,Fall,1999,2000,0.278126404,Northeast
39,10/5/1999,LOX,Lox_Marsh,Marsh,571116,2932908,58,75,11,Female,2.397895273,4.317488114,Subadult,10,Fall,1999,2000,1.847684114,Northeast
40,10/5/1999,LOX,Lox_Marsh,Marsh,569744,2932204,58,74,10.5,Male,2.351375257,4.304065093,Subadult,10,Fall,1999,2000,1.810384138,Northeast
41,10/5/1999,LOX,Lox_Marsh,Marsh,571013,2928113,37,95.8,16,Female,2.772588722,4.562262685,Adult,10,Fall,1999,2000,-1.148066627,Northeast
42,10/5/1999,LOX,Lox_Marsh,Marsh,571360,2929037,63,83,11,Female,2.397895273,4.418840608,Subadult,10,Fall,1999,2000,-0.597113578,Northeast
44,10/5/1999,LOX,Lox_Marsh,Marsh,571466,2929329,56,90.5,15,Male,2.708050201,4.505349851,Adult,10,Fall,1999,2000,-0.276491595,Northeast
45,10/5/1999,LOX,Lox_Marsh,Marsh,571081,2928067,67,72,8,Male,2.079441542,4.276666119,Subadult,10,Fall,1999,2000,0.360170453,Northeast
46,10/5/1999,WCA2,WCA2A_Marsh,Marsh,555443,2896166,172.5,74,8,Female,2.079441542,4.304065093,Subadult,10,Fall,1999,2000,-0.300586909,Central
47,10/5/1999,WCA2,WCA2A_Marsh,Marsh,556462,2897393,159.5,62.5,4.5,Female,1.504077397,4.135166557,Subadult,10,Fall,1999,2000,-0.692759844,Central
48,10/5/1999,WCA2,WCA2A_Marsh,Marsh,557076,2898163,143,85.5,13.5,Female,2.602689685,4.448516376,Subadult,10,Fall,1999,2000,0.276326877,Central
49,10/5/1999,WCA3AS,WCA3A-HD_Marsh,Marsh,546091,2877681,105.5,66,5,Female,1.609437912,4.189654742,Subadult,10,Fall,1999,2000,-1.189340775,Central
50,10/5/1999,WCA3AS,WCA3A-HD_Marsh,Marsh,547737,2882300,129,87,15,Male,2.708050201,4.465908119,Adult,10,Fall,1999,2000,0.674465214,Central
51,10/5/1999,WCA3AS,WCA3A-HD_Marsh,Marsh,547308,2877879,139.5,93.5,19,Male,2.944438979,4.537961436,Adult,10,Fall,1999,2000,0.771239808,Central
53,10/6/1999,BICY,BICY_Marsh,Marsh,484651,2853221,35,65.5,5.75,Female,1.749199855,4.182050143,Subadult,10,Fall,1999,2000,0.079154129,West
54,10/6/1999,BICY,BICY_Marsh,Marsh,469186,2862225,77,91,15.5,Male,2.740840024,4.510859507,Adult,10,Fall,1999,2000,-0.154936015,West
59,4/15/2000,ENP,ENP-FC,Marsh,529448,2838846,41.5,62,5.25,Female,1.658228077,4.127134385,Subadult,4,Spring,2000,2000,0.697841346,Central
60,4/15/2000,ENP,ENP-FC,Marsh,530133,2839476,37.5,68,6.5,Female,1.871802177,4.219507705,Subadult,4,Spring,2000,2000,0.127261023,Central
61,4/15/2000,ENP,ENP-FC,Marsh,527913,2835158,37,92.6,12.75,Female,2.545531272,4.528289142,Adult,4,Spring,2000,2000,-2.091495758,Central
62,4/15/2000,ENP,ENP-FC,Marsh,527702,2834326,36,74,9.75,Female,2.277267285,4.304065093,Subadult,4,Spring,2000,2000,1.234788623,Central
63,4/15/2000,ENP,ENP-FC,Marsh,530163,2832845,36,92.4,16.75,Female,2.818398258,4.526126979,Adult,4,Spring,2000,2000,0.078680771,Central
64,4/15/2000,ENP,ENP-SS,Marsh,525805,2832803,48,82.5,15.5,Female,2.740840024,4.412798293,Subadult,4,Spring,2000,2000,2.210771619,South
65,4/15/2000,ENP,ENP-SS,Marsh,525913,2832950,46.5,64,5.9,Male,1.774952351,4.158883083,Subadult,4,Spring,2000,2000,0.838016842,South
66,4/15/2000,ENP,ENP-SS,Marsh,525362,2835669,38,93.5,22.5,Female,3.113515309,4.537961436,Adult,4,Spring,2000,2000,2.084012089,South
67,4/15/2000,ENP,ENP-SS,Marsh,525969,2832990,38,87,18,Female,2.890371758,4.465908119,Adult,4,Spring,2000,2000,2.090086247,South
68,4/15/2000,ENP,ENP-SS,Marsh,NA,NA,999,93.4,16.75,Male,2.818398258,4.536891345,Adult,4,Spring,2000,2000,-0.180832967,South
69,4/20/2000,LOX,Lox_Marsh,Marsh,571422,2926885,51,75.6,9.5,Female,2.251291799,4.325456283,Subadult,4,Spring,2000,2000,0.517125443,Northeast
70,4/20/2000,LOX,Lox_Marsh,Marsh,571393,2926474,77,62.3,5.5,Male,1.704748092,4.131961426,Subadult,4,Spring,2000,2000,0.942592376,Northeast
72,4/20/2000,LOX,Lox_Marsh,Marsh,571404,2926472,84,88.5,14.5,Male,2.674148649,4.483002552,Adult,4,Spring,2000,2000,-0.000730137,Northeast
73,4/20/2000,WCA2,WCA2A_Marsh,Marsh,555566,2896170,110,74,9,Female,2.197224577,4.304065093,Subadult,4,Spring,2000,2000,0.613444931,Central
74,4/20/2000,WCA2,WCA2A_Marsh,Marsh,560317,2902915,39,87,14,Female,2.63905733,4.465908119,Adult,4,Spring,2000,2000,0.139162163,Central
75,4/20/2000,WCA2,WCA2A_Marsh,Marsh,561744,2908785,43,85,16,Female,2.772588722,4.442651256,Subadult,4,Spring,2000,2000,1.736550671,Central
76,4/20/2000,WCA2,WCA2A_Marsh,Marsh,561264,2908607,28,77,9,Female,2.197224577,4.343805422,Subadult,4,Spring,2000,2000,-0.34490518,Central
77,4/20/2000,WCA2,WCA2A_Marsh,Marsh,560363,2903349,57.5,93,19,Female,2.944438979,4.532599493,Adult,4,Spring,2000,2000,0.900544653,Central
78,4/20/2000,WCA3AS,WCA3A-HD_Marsh,Marsh,545269,2878133,56,65.5,5.7,Male,1.740466175,4.182050143,Subadult,4,Spring,2000,2000,0.011361058,Central
79,4/20/2000,WCA3AS,WCA3A-HD_Marsh,Marsh,548277,2878310,74,100,22,Female,3.091042453,4.605170186,Adult,4,Spring,2000,2000,0.288216392,Central
80,4/20/2000,WCA3AS,WCA3A-HD_Marsh,Marsh,547996,2880320,67,68.6,6.8,Male,1.916922612,4.228292535,Subadult,4,Spring,2000,2000,0.265572316,Central
81,4/20/2000,WCA3AS,WCA3A-HD_Marsh,Marsh,547867,2880415,65,83,13,Female,2.564949357,4.418840608,Subadult,4,Spring,2000,2000,0.699067821,Central
82,4/20/2000,WCA3AS,WCA3A-HD_Marsh,Marsh,549264,2880061,56,94.5,16,Male,2.772588722,4.548599834,Adult,4,Spring,2000,2000,-0.818558727,Central
84,4/20/2000,WCA3AN,WCA3A-TW_Marsh,Marsh,548778,2892352,49,74,10,Female,2.302585093,4.304065093,Subadult,4,Spring,2000,2000,1.43138916,Central
88,4/21/2000,ENP,ENP-SS,Marsh,527404,2835304,45,94,18.25,Male,2.90416508,4.543294782,Adult,4,Spring,2000,2000,0.330165418,South
89,4/21/2000,ENP,ENP-SS,Marsh,525944,2832895,48,90,16.5,Female,2.803360381,4.49980967,Adult,4,Spring,2000,2000,0.596526848,South
90,4/21/2000,ENP,ENP-SS,Marsh,525162,2835345,34,98.8,21,Male,3.044522438,4.593097605,Adult,4,Spring,2000,2000,0.218369119,South
91,4/21/2000,ENP,ENP-SS,Marsh,525641,2835769,41,91.3,17,Male,2.833213344,4.514150788,Adult,4,Spring,2000,2000,0.482361686,South
92,4/21/2000,ENP,ENP-SS,Marsh,525169,2835440,38.5,69.3,6.9,Male,1.931521412,4.238444906,Subadult,4,Spring,2000,2000,0.134007014,South
93,4/21/2000,LOX,Lox_Marsh,Marsh,572033,2927839,53,105,28,Female,3.33220451,4.65396035,Adult,4,Spring,2000,2000,0.982992773,Northeast
95,4/21/2000,LOX,Lox_Marsh,Marsh,570948,2934864,41.5,73.5,9,Female,2.197224577,4.297285406,Subadult,4,Spring,2000,2000,0.776978205,Northeast
96,4/21/2000,LOX,Lox_Marsh,Marsh,569626,2937343,35.5,77.5,9.5,Male,2.251291799,4.350277936,Subadult,4,Spring,2000,2000,-0.081440365,Northeast
97,4/21/2000,LOX,Lox_Marsh,Marsh,570127,2937540,44.5,115,32,Male,3.465735903,4.744932128,Adult,4,Spring,2000,2000,-0.174406453,Northeast
98,4/21/2000,WCA3AS,WCA3A-N41_Marsh,Marsh,519124,2850380,46,88,17,Female,2.833213344,4.477336814,Adult,4,Spring,2000,2000,1.37024764,Central
99,4/21/2000,WCA3AS,WCA3A-N41_Marsh,Marsh,519124,2850380,40,86,14,Male,2.63905733,4.454347296,Subadult,4,Spring,2000,2000,0.417901916,Central
100,4/21/2000,WCA3AS,WCA3A-N41_Marsh,Marsh,519124,2850380,52,94,18,Male,2.890371758,4.543294782,Adult,4,Spring,2000,2000,0.223155199,Central
101,4/21/2000,WCA3AS,WCA3A-N41_Marsh,Marsh,519150,2850424,52,98,20,Male,2.995732274,4.584967479,Adult,4,Spring,2000,2000,0.035865435,Central
102,4/21/2000,WCA3AS,WCA3A-N41_Marsh,Marsh,519124,2850380,51,78,9.5,Male,2.251291799,4.356708827,Subadult,4,Spring,2000,2000,-0.236507971,Central
103,4/21/2000,WCA3AS,WCA3A-N41_Marsh,Marsh,519124,2850380,47,100,20,Male,2.995732274,4.605170186,Adult,4,Spring,2000,2000,-0.4511973,Central
104,4/21/2000,WCA3AS,WCA3A-N41_Marsh,Marsh,519124,2850380,42,72,8,Male,2.079441542,4.276666119,Subadult,4,Spring,2000,2000,0.360170453,Central
105,4/21/2000,WCA3AS,WCA3A-N41_Marsh,Marsh,518129,2849124,54,79,12,Male,2.48490665,4.369447852,Subadult,4,Spring,2000,2000,1.269242904,Central
106,4/21/2000,WCA3AS,WCA3A-N41_Marsh,Marsh,517745,2854299,55.5,77,10.5,Male,2.351375257,4.343805422,Subadult,4,Spring,2000,2000,0.851305146,Central
107,4/21/2000,WCA3AS,WCA3A-N41_Marsh,Marsh,517988,2855132,54,68.5,6,Female,1.791759469,4.226833745,Subadult,4,Spring,2000,2000,-0.67071685,Central
108,4/21/2000,WCA3AS,WCA3A-N41_Marsh,Marsh,518187,2849965,44.5,68,6.75,Male,1.909542505,4.219507705,Subadult,4,Spring,2000,2000,0.420191171,Central
109,4/21/2000,WCA3AS,WCA3A-N41_Marsh,Marsh,518370,2851834,51.5,91.5,19,Male,2.944438979,4.516338972,Adult,4,Spring,2000,2000,1.292754163,Central
110,4/21/2000,WCA3AS,WCA3A-N41_Marsh,Marsh,517890,2852724,51,62,5.6,Male,1.722766598,4.127134385,Subadult,4,Spring,2000,2000,1.199062856,Central
111,4/23/2000,LOX,Lox_Marsh,Marsh,570646,2930673,37,98,20,Female,2.995732274,4.584967479,Adult,4,Spring,2000,2000,0.035865435,Northeast
112,4/23/2000,LOX,Lox_Marsh,Marsh,573256,2929451,58,109,27.5,Female,3.314186005,4.691347882,Adult,4,Spring,2000,2000,-0.058271165,Northeast
113,4/23/2000,LOX,Lox_Marsh,Marsh,570765,2929638,48.5,76,9,Female,2.197224577,4.33073334,Subadult,4,Spring,2000,2000,-0.029689343,Northeast
114,4/23/2000,LOX,Lox_Marsh,Marsh,572421,2929312,18.5,73.5,9,Male,2.197224577,4.297285406,Subadult,4,Spring,2000,2000,0.776978205,Northeast
115,4/27/2000,WCA2,WCA2A_Marsh,Marsh,560049,2900753,75,90,15.25,Female,2.724579503,4.49980967,Adult,4,Spring,2000,2000,-0.014686683,Central
116,4/27/2000,WCA2,WCA2A_Marsh,Marsh,560752,2902679,55.5,73.5,7.75,Male,2.047692843,4.297285406,Subadult,4,Spring,2000,2000,-0.38347381,Central
117,4/27/2000,WCA2,WCA2A_Marsh,Marsh,560861,2903101,62.4,101.8,20.5,Female,3.020424886,4.623010104,Adult,4,Spring,2000,2000,-0.6897565,Central
120,4/28/2000,WCA2,WCA2A_Marsh,Marsh,557264,2905544,51,87.5,13.75,Female,2.621038824,4.471638793,Subadult,4,Spring,2000,2000,-0.138794085,Central
121,4/28/2000,WCA3AN,WCA3A-TW_Marsh,Marsh,539938,2894443,17.5,62.2,5.2,Male,1.648658626,4.130355,Subadult,4,Spring,2000,2000,0.545820636,Central
122,4/29/2000,WCA2,WCA2A_Marsh,Marsh,557052,2906013,49,74.5,9,Male,2.197224577,4.310799125,Subadult,4,Spring,2000,2000,0.451029783,Central
123,4/29/2000,WCA2,WCA2A_Marsh,Marsh,557491,2907847,34,85.5,12.25,Female,2.505525937,4.448516376,Subadult,4,Spring,2000,2000,-0.477522967,Central
126,10/5/2000,LOX,Lox_Marsh,Marsh,574308,2927821,64,82,10.2,Male,2.32238772,4.406719247,Subadult,10,Fall,2000,2001,-0.890769988,Northeast
127,10/5/2000,LOX,Lox_Marsh,Marsh,574272,2927444,74,81.2,11.4,Female,2.433613355,4.396915247,Subadult,10,Fall,2000,2001,0.20868026,Northeast
128,10/5/2000,LOX,Lox_Marsh,Marsh,574371,2927789,79,127.7,42.8,Female,3.756538103,4.849683763,Adult,10,Fall,2000,2001,-0.443882386,Northeast
129,10/5/2000,LOX,Lox_Marsh,Marsh,574308,2927821,55,64.7,4.8,Male,1.568615918,4.169761202,Subadult,10,Fall,2000,2001,-1.026323108,Northeast
131,10/5/2000,LOX,Lox_Marsh,Marsh,573949,2932352,56,110.6,27,Male,3.295836866,4.705920089,Adult,10,Fall,2000,2001,-0.551971708,Northeast
132,10/5/2000,LOX,Lox_Marsh,Marsh,574027,2932377,56,110.9,31.5,Female,3.449987546,4.708628894,Adult,10,Fall,2000,2001,0.57868867,Northeast
133,10/5/2000,LOX,Lox_Marsh,Marsh,573256,2931985,58,87,14,Male,2.63905733,4.465908119,Subadult,10,Fall,2000,2001,0.139162163,Northeast
134,10/5/2000,LOX,Lox_Marsh,Marsh,573132,2931976,52,100.3,21,Female,3.044522438,4.608165695,Adult,10,Fall,2000,2001,-0.144897189,Northeast
135,10/5/2000,LOX,Lox_Marsh,Marsh,573151,2932325,52,88.53,14,Male,2.63905733,4.483341478,Subadult,10,Fall,2000,2001,-0.28114776,Northeast
138,10/10/2000,ENP,ENP-SS,Marsh,527608,2835064,75,94,22,Female,3.091042453,4.543294782,Adult,10,Fall,2000,2001,1.780653905,South
139,10/10/2000,ENP,ENP-SS,Marsh,525296,2833899,59,94.5,22,Female,3.091042453,4.548599834,Adult,10,Fall,2000,2001,1.65261026,South
140,10/10/2000,ENP,ENP-SS,Marsh,524450,2837437,56,90,20,Male,2.995732274,4.49980967,Adult,10,Fall,2000,2001,2.090094775,South
142,10/10/2000,ENP,ENP-SS,Marsh,525228,2833640,45,112,31,Male,3.433987204,4.718498871,Adult,10,Fall,2000,2001,0.216576722,South
144,10/10/2000,WCA2,WCA2A_Marsh,Marsh,560528,2905450,98,114.6,33.5,Male,3.511545439,4.741447804,Adult,10,Fall,2000,2001,0.265010589,Central
145,10/10/2000,WCA2,WCA2A_Marsh,Marsh,558115,2900423,121,107,20.5,Female,3.020424886,4.672828834,Adult,10,Fall,2000,2001,-1.891651941,Central
146,10/10/2000,WCA2,WCA2A_Marsh,Marsh,560289,2903648,87,109.1,24.5,Female,3.198673118,4.692264893,Adult,10,Fall,2000,2001,-0.976653021,Central
147,10/10/2000,WCA2,WCA2A_Marsh,Marsh,560034,2902522,85.5,125.5,41.5,Male,3.725693427,4.832305759,Adult,10,Fall,2000,2001,-0.264162691,Central
148,10/10/2000,WCA3AS,WCA3A-N41_Marsh,Marsh,519675,2849444,62,85.2,12.25,Female,2.505525937,4.445001434,Subadult,10,Fall,2000,2001,-0.392773091,Central
149,10/10/2000,WCA3AS,WCA3A-N41_Marsh,Marsh,518077,2851590,51,94.5,19.5,Male,2.970414466,4.548599834,Adult,10,Fall,2000,2001,0.716265249,Central
150,10/10/2000,WCA3AS,WCA3A-N41_Marsh,Marsh,518512,2850465,84,85.7,14,Male,2.63905733,4.450852826,Subadult,10,Fall,2000,2001,0.502161489,Central
151,10/11/2000,ENP,ENP-SS,Marsh,527213,2835177,75,87,18.5,Female,2.917770732,4.465908119,Adult,10,Fall,2000,2001,2.303047156,South
152,10/11/2000,LOX,Lox_Marsh,Marsh,574242,2927690,69,87.5,15.5,Male,2.740840024,4.471638793,Adult,10,Fall,2000,2001,0.790712995,Northeast
153,10/11/2000,LOX,Lox_Marsh,Marsh,574294,2927275,94.3,80,11.4,Female,2.433613355,4.382026635,Subadult,10,Fall,2000,2001,0.567699248,Northeast
155,10/11/2000,LOX,Lox_Marsh,Marsh,573931,2926950,77.1,65.3,6,Female,1.791759469,4.178992036,Subadult,10,Fall,2000,2001,0.483298504,Northeast
156,10/11/2000,LOX,Lox_Marsh,Marsh,573541,2925739,90.6,77,10.7,Male,2.370243741,4.343805422,Subadult,10,Fall,2000,2001,0.997762412,Northeast
158,10/11/2000,WCA2,WCA2A_Marsh,Marsh,561250,2905913,112,113.1,27.5,Female,3.314186005,4.728272383,Adult,10,Fall,2000,2001,-0.948616217,Central
159,10/11/2000,WCA2,WCA2A_Marsh,Marsh,560438,2905595,95.3,89.5,15,Male,2.708050201,4.494238625,Adult,10,Fall,2000,2001,-0.008609929,Central
161,10/11/2000,WCA2,WCA2A_Marsh,Marsh,561476,2906493,96,102.4,24,Female,3.17805383,4.628886713,Adult,10,Fall,2000,2001,0.391477705,Central
162,10/11/2000,WCA2,WCA2A_Marsh,Marsh,NA,NA,93,104.5,24.5,Female,3.198673118,4.649187071,Adult,10,Fall,2000,2001,0.062024818,Central
164,10/11/2000,WCA3AS,WCA3A-HD_Marsh,Marsh,551001,2884254,91,80.5,11,Male,2.397895273,4.388257184,Subadult,10,Fall,2000,2001,0.140308067,Central
165,10/11/2000,WCA3AS,WCA3A-HD_Marsh,Marsh,549643,2884639,91,83.5,12,Male,2.48490665,4.424846632,Subadult,10,Fall,2000,2001,-0.066806615,Central
166,10/11/2000,WCA3AS,WCA3A-HD_Marsh,Marsh,549628,2884909,98,114,34,Male,3.526360525,4.736198448,Adult,10,Fall,2000,2001,0.506524358,Central
167,10/11/2000,WCA3AS,WCA3A-HD_Marsh,Marsh,551009,2884667,102.8,91,17.4,Male,2.856470206,4.510859507,Adult,10,Fall,2000,2001,0.742176004,Central
168,10/11/2000,WCA3AS,WCA3A-HD_Marsh,Marsh,546014,2883461,97.5,75.2,8.2,Male,2.104134154,4.320151231,Subadult,10,Fall,2000,2001,-0.49688688,Central
169,10/11/2000,WCA3AS,WCA3A-N41_Marsh,Marsh,520267,2850424,75,102.3,25,Female,3.218875825,4.627909673,Adult,10,Fall,2000,2001,0.731765192,Central
170,10/11/2000,WCA3AS,WCA3A-N41_Marsh,Marsh,518741,2849666,66,82.5,16,Male,2.772588722,4.412798293,Subadult,10,Fall,2000,2001,2.457613741,Central
171,10/11/2000,WCA3AS,WCA3A-N41_Marsh,Marsh,518739,2849668,69,102.1,21.5,Male,3.068052935,4.625952725,Adult,10,Fall,2000,2001,-0.391173515,Central
173,10/11/2000,WCA3AS,WCA3A-N41_Marsh,Marsh,518873,2849980,67,89.4,12.5,Male,2.525728644,4.493120682,Subadult,10,Fall,2000,2001,-1.3964716,Central
174,10/11/2000,WCA3AS,WCA3A-N41_Marsh,Marsh,521975,2849468,77,71.7,7.75,Male,2.047692843,4.272490748,Subadult,10,Fall,2000,2001,0.214478265,Central
175,10/11/2000,WCA3AS,WCA3A-N41_Marsh,Marsh,517584,2866512,63.5,82.5,12.5,Female,2.525728644,4.412798293,Subadult,10,Fall,2000,2001,0.540433954,Central
176,10/11/2000,WCA3AS,WCA3A-N41_Marsh,Marsh,518051,2851270,73,103.5,24,Female,3.17805383,4.639571613,Adult,10,Fall,2000,2001,0.133876124,Central
178,10/11/2000,WCA3AN,WCA3A-TW_Marsh,Marsh,552742,2893722,76,82.9,12,Male,2.48490665,4.417635062,Subadult,10,Fall,2000,2001,0.107069472,Central
179,10/12/2000,ENP,ENP-FC,Marsh,530555,2833100,65,99.5,19.5,Female,2.970414466,4.600157644,Adult,10,Fall,2000,2001,-0.526771649,Central
180,10/12/2000,ENP,ENP-FC,Marsh,528610,2834592,53,99.5,22,Female,3.091042453,4.600157644,Adult,10,Fall,2000,2001,0.409065368,Central
182,10/12/2000,ENP,ENP-SS,Marsh,526605,2833110,63,97,22,Female,3.091042453,4.574710979,Adult,10,Fall,2000,2001,1.022667841,South
183,10/12/2000,ENP,ENP-SS,Marsh,525263,2834406,60.5,102,17,Female,2.833213344,4.624972813,Adult,10,Fall,2000,2001,-2.190728012,South
184,10/12/2000,ENP,ENP-SS,Marsh,525044,2833783,60.5,98,22,Male,3.091042453,4.584967479,Adult,10,Fall,2000,2001,0.775323908,South
185,10/12/2000,ENP,ENP-SS,Marsh,525282,2833640,41,118,33,Male,3.496507561,4.770684624,Adult,10,Fall,2000,2001,-0.55659662,South
186,10/12/2000,ENP,ENP-SS,Marsh,525377,2833035,41,87,15,Female,2.708050201,4.465908119,Adult,10,Fall,2000,2001,0.674465214,South
187,10/12/2000,WCA2,WCA2A_Marsh,Marsh,561547,2904988,95,64.1,5.2,Female,1.648658626,4.160444364,Subadult,10,Fall,2000,2001,-0.180109668,Central
188,10/12/2000,WCA2,WCA2A_Marsh,Marsh,562306,2903053,93,101.4,18.6,Female,2.923161581,4.619073091,Adult,10,Fall,2000,2001,-1.349665104,Central
189,10/12/2000,WCA2,WCA2A_Marsh,Marsh,560623,2902826,93.5,104.3,22,Female,3.091042453,4.647271362,Adult,10,Fall,2000,2001,-0.726825446,Central
190,10/12/2000,WCA2,WCA2A_Marsh,Marsh,561773,2905796,98,105.5,29,Female,3.36729583,4.658710953,Adult,10,Fall,2000,2001,1.140768296,Central
192,10/12/2000,WCA3AS,WCA3A-N41_Marsh,Marsh,517110,2862999,52.8,62.5,5.5,Male,1.704748092,4.135166557,Subadult,10,Fall,2000,2001,0.865234199,Central
193,10/12/2000,WCA3AS,WCA3A-N41_Marsh,Marsh,517324,2864784,59.4,118.5,40,Male,3.688879454,4.774912961,Adult,10,Fall,2000,2001,0.834091817,Central
